ID,Name,Category,Subcategory,Address,Phone,Website,Zip Codes Served,Languages,Hours (Mon),Hours (Tue),Hours (Wed),Hours (Thu),Hours (Fri),Hours (Sat),Hours (Sun),Service Delivery,Cost,Accepted Insurance,Copay,ADA Accessible,Transportation Assistance,Child Friendly,API Endpoint,Income Limit (% FPL),Household Size Min,Age Min,Age Max,Residency Required,Insurance Required,Documentation Required,Max Per Week,Base Utilization (%),Seasonal Notes,Availability Status,Available Slots,Wait Time (Days),Next Available,Simulated Utilization (%)
P057,Speech & Language Pathology Center – Huntington Beach,therapy,speech_therapy,"3710 Main St, Huntington Beach, CA 92647",714-823-8889,https://speech-language-pathology-center.org,92782; 92807; 92831,ar; en; es,8am-5pm,8am-5pm,8am-5pm,8am-5pm,8am-5pm,closed,closed,hybrid,25,Medi-Cal,15,true,true,true,/api/programs/P057/availability,400,1,0,12,Santa Ana,false,proof_of_address,99,46,,open,50,0,immediate,49
P058,ABA Therapy Services – Autism Support – Mission Viejo,therapy,aba_therapy,"4497 Elm Blvd, Mission Viejo, CA 92694",714-485-8155,https://aba-therapy-services-autism-support.org,all_orange_county,fa; en; zh; km; es; vi; ko; tl,8am-4pm,8am-4pm,8am-4pm,8am-4pm,8am-4pm,closed,closed,telehealth,10,Medi-Cal,0,true,false,true,/api/programs/P058/availability,300,1,0,12,Orange County,true,proof_of_address,130,38,Holiday surge Dec,open,84,0,immediate,35
P059,Play Therapy & Trauma Recovery Center – Lake Forest,therapy,play_therapy,"7914 Main St, Lake Forest, CA 92688",714-754-7664,https://play-therapy-trauma-recovery-center.org,all_orange_county,en; ar; fa; hy; ko; tl; zh; es,closed,9am-12pm,closed,9am-12pm,closed,9am-12pm,closed,hybrid,0,CHIP,0,true,false,true,/api/programs/P059/availability,250,1,0,21,Anaheim,true,photo_id; proof_of_address,130,88,Limited summer capacity,limited,10,3,2026-04-23,92
P060,Family Therapy & Counseling Services – Westminster,therapy,family_therapy,"4563 Katella Ave, Westminster, CA 92683",714-949-5589,https://family-therapy-counseling-services.org,all_orange_county,es; en; vi; tl; zh,9am-6pm,9am-6pm,9am-6pm,9am-6pm,9am-6pm,9am-1pm,closed,in-person,0,,0,false,true,true,/api/programs/P060/availability,200,1,0,17,Orange County,false,referral_from_hospital_or_doctor,74,59,Limited summer capacity,open,26,1,2026-04-21,64
P061,School-Based Mental Health Program – Anaheim,therapy,school_mental_health,"9000 Harbor Blvd, Anaheim, CA 92803",714-624-2978,https://school-based-mental-health-program.org,92808; 92672; 92703; 92831; 92694; 92804; 92692; 92612,en; ar; ko; zh; es,10am-7pm,10am-7pm,10am-7pm,10am-7pm,10am-7pm,10am-3pm,closed,hybrid,0,,0,true,false,true,/api/programs/P061/availability,250,1,0,5,Orange County,false,proof_of_income; proof_of_address,44,77,Increased availability summer,open,9,6,2026-04-26,78
P062,Telehealth Pediatric Therapy – Santa Ana,therapy,telehealth_therapy,"8834 Brookhurst St, Santa Ana, CA 92708",714-642-9121,https://telehealth-pediatric-therapy.org,all_orange_county,en; fa; ar; hy; ko; km; es,9am-6pm,9am-6pm,9am-6pm,9am-6pm,9am-6pm,9am-1pm,closed,home-delivered,0,Medi-Cal,0,false,false,true,/api/programs/P062/availability,300,1,2,5,Santa Ana,false,proof_of_income; proof_of_address,89,89,Higher demand Nov-Jan,limited,6,11,2026-05-01,92
P063,Trauma-Informed Care Clinic – Irvine,therapy,trauma_therapy,"6505 Main St, Irvine, CA 92612",714-178-6972,https://trauma-informed-care-clinic.org,all_orange_county,tl; en; es; vi; zh,9am-6pm,9am-6pm,9am-6pm,9am-6pm,9am-6pm,9am-1pm,closed,telehealth,0,Medi-Cal,0,true,false,true,/api/programs/P063/availability,200,1,0,12,California,true,photo_id; proof_of_address,58,43,,open,34,0,immediate,40
P064,Bilingual Child Therapy Services – Orange,therapy,mental_health,"5386 Beach Blvd, Orange, CA 92867",714-857-9458,https://bilingual-child-therapy-services.org,all_orange_county,en; hy; es,closed,9am-12pm,closed,9am-12pm,closed,9am-12pm,closed,home-delivered,25,Medi-Cal; Medicare; Private,20,true,true,true,/api/programs/P064/availability,250,1,0,5,California,false,photo_id; proof_of_income; proof_of_address; ssn,149,44,Higher demand Nov-Jan,open,88,0,immediate,40
P065,Infant Mental Health Program – Garden Grove,therapy,infant_mental_health,"7520 Brookhurst St, Garden Grove, CA 92844",714-485-7212,https://infant-mental-health-program.org,92805; 92807; 92708; 92843,en; fa; zh; tl; vi; es,8am-5pm,8am-5pm,8am-5pm,8am-5pm,8am-5pm,closed,closed,in-person; telehealth,25,Private,5,true,false,true,/api/programs/P065/availability,400,1,2,5,Irvine,false,proof_of_income; proof_of_address,99,61,Increased availability summer,open,36,6,2026-04-26,63
P066,Feeding Therapy Clinic – Fullerton,therapy,feeding_therapy,"2822 Oak Ave, Fullerton, CA 92833",714-414-3723,https://feeding-therapy-clinic.org,all_orange_county,es; vi; en; tl; fa; km; zh; hy,10am-7pm,10am-7pm,10am-7pm,10am-7pm,10am-7pm,10am-3pm,closed,in-person; telehealth,0,,0,false,false,true,/api/programs/P066/availability,250,1,0,17,Orange County,false,photo_id; proof_of_income; proof_of_address; ssn,101,86,Increased availability summer,limited,14,14,2026-05-04,85
P067,Sensory Integration Therapy – Huntington Beach,therapy,occupational_therapy,"548 Chapman Ave, Huntington Beach, CA 92647",714-202-8902,https://sensory-integration-therapy.org,92804; 92618; 92657; 92647,en; zh; fa; es,9am-6pm,9am-6pm,9am-6pm,9am-6pm,9am-6pm,9am-1pm,closed,in-person,0,Medi-Cal; Medicare,0,true,false,true,/api/programs/P067/availability,200,1,0,12,Santa Ana,true,proof_of_address,57,67,Waitlist common Aug-Sep,open,16,5,2026-04-25,71
P068,Pediatric Neuropsychology Services – Mission Viejo,therapy,neuropsychology,"2959 Main St, Mission Viejo, CA 92692",714-985-4537,https://pediatric-neuropsychology-services.org,all_orange_county,en; fa; zh; vi; tl; es; ko,8am-5pm,8am-5pm,8am-5pm,8am-5pm,8am-5pm,closed,closed,in-person; home-delivered,0,CHIP,0,true,false,true,/api/programs/P068/availability,200,1,0,17,Anaheim,true,photo_id; proof_of_income; proof_of_address; ssn,58,59,Increased availability summer,open,23,3,2026-04-23,60
P069,Child & Adolescent Psychiatry Clinic – Lake Forest,therapy,psychiatry,"3502 Main St, Lake Forest, CA 92630",714-671-5004,https://child-adolescent-psychiatry-clinic.org,all_orange_county,ar; km; tl; vi; ko; hy; en; es,8am-5pm,8am-5pm,8am-5pm,8am-5pm,8am-5pm,closed,closed,hybrid,10,Medi-Cal; Medicare; Private,5,true,false,true,/api/programs/P069/availability,300,1,0,21,Santa Ana,false,proof_of_address,115,46,Holiday surge Dec,open,65,0,immediate,43
P070,Grief & Loss Support for Children – Westminster,therapy,grief_therapy,"6829 Euclid St, Westminster, CA 92683",714-519-2467,https://grief-loss-support-for-children.org,92807; 92867; 92618; 92688; 92780; 92651,en; ko; zh; es; ar; fa; tl; km; hy,8am-4pm,8am-4pm,8am-4pm,8am-4pm,8am-4pm,closed,closed,in-person,25,Medi-Cal; Medicare; Private,10,true,false,true,/api/programs/P070/availability,400,1,0,5,Santa Ana,true,photo_id,121,94,,limited,6,3,2026-04-23,94
P071,Substance Abuse Family Support – Anaheim,therapy,substance_abuse,"9513 Main St, Anaheim, CA 92803",714-549-9174,https://substance-abuse-family-support.org,92801; 92833; 92808; 92802; 92708; 92865; 92843,vi; en; km; hy; zh; es; ko; tl,9am-6pm,9am-6pm,9am-6pm,9am-6pm,9am-6pm,9am-1pm,closed,hybrid,25,Medi-Cal; Medicare; Private,10,true,false,true,/api/programs/P071/availability,,1,0,21,Anaheim,false,photo_id; proof_of_income; proof_of_address; ssn,46,62,Increased availability summer,open,15,5,2026-04-25,67
P072,Developmental Pediatrics Clinic – Santa Ana,therapy,developmental_therapy,"3333 Oak Ave, Santa Ana, CA 92705",714-796-5025,https://developmental-pediatrics-clinic.org,92843; 92844; 92841; 92647,vi; ko; tl; ar; en; hy; es; fa,8am-5pm,8am-5pm,8am-5pm,8am-5pm,8am-5pm,closed,closed,telehealth,0,Medi-Cal; Medicare,0,true,false,true,/api/programs/P072/availability,300,1,0,,Santa Ana,true,proof_of_income; proof_of_address,52,92,,limited,5,3,2026-04-23,89
P073,Autism Diagnostic & Support Center – Irvine,therapy,autism_support,"7942 Main St, Irvine, CA 92618",714-687-8429,https://autism-diagnostic-support-center.org,92802; 92867; 92704; 92701; 92804; 92661; 92843; 92868,zh; es; en; fa; tl; ar; km; hy; vi; ko,9am-6pm,9am-6pm,9am-6pm,9am-6pm,9am-6pm,9am-1pm,closed,in-person,10,Medi-Cal,15,true,false,true,/api/programs/P073/availability,400,1,0,17,Orange County,true,proof_of_address,131,31,Higher demand Nov-Jan,open,92,0,immediate,30
P074,ADHD Evaluation & Therapy Program – Orange,therapy,adhd_support,"7378 Chapman Ave, Orange, CA 92867",714-653-8342,https://adhd-evaluation-therapy-program.org,all_orange_county,ko; hy; en; es; ar,8am-5pm,8am-5pm,8am-5pm,8am-5pm,8am-5pm,closed,closed,in-person; telehealth,20,Medi-Cal,15,false,false,true,/api/programs/P074/availability,300,1,0,5,Orange County,false,photo_id,100,65,Increased availability summer,open,33,5,2026-04-25,66
P075,Pediatric Pain Management Therapy – Garden Grove,therapy,pain_management,"8429 Oak Ave, Garden Grove, CA 92843",714-180-6686,https://pediatric-pain-management-therapy.org,all_orange_county,en; fa; ar; km; ko; es,10am-7pm,10am-7pm,10am-7pm,10am-7pm,10am-7pm,10am-3pm,closed,in-person; home-delivered,0,,0,true,false,true,/api/programs/P075/availability,400,1,0,12,Anaheim,false,photo_id,20,62,Limited summer capacity,open,7,6,2026-04-26,61
P076,OC Housing Authority – Section 8 Vouchers – Anaheim,housing,section_8,"6892 Elm Blvd, Anaheim, CA 92804",714-651-8358,https://oc-housing-authority-section-8-vouchers.org,all_orange_county,en; ar; ko; tl; es,9am-6pm,9am-6pm,9am-6pm,9am-6pm,9am-6pm,9am-1pm,closed,telehealth,10,Medi-Cal; CHIP,5,true,false,true,/api/programs/P076/availability,300,1,,21,Orange County,false,photo_id; proof_of_address,45,37,Higher demand Nov-Jan,open,26,0,immediate,41
P077,Emergency Family Shelter Network – Santa Ana,housing,emergency_shelter,"5156 Harbor Blvd, Santa Ana, CA 92705",714-241-8307,https://emergency-family-shelter-network.org,all_orange_county,hy; en; ko; km; fa; zh; es; vi; ar; tl,closed,9am-12pm,closed,9am-12pm,closed,9am-12pm,closed,telehealth,25,Medi-Cal; Medicare; Private,10,true,false,true,/api/programs/P077/availability,400,1,,17,California,false,photo_id; proof_of_address,27,47,Holiday surge Dec,open,14,0,immediate,45
P078,Rapid Rehousing for Families with Children – Irvine,housing,rapid_rehousing,"6112 Chapman Ave, Irvine, CA 92612",714-401-6978,https://rapid-rehousing-for-families-with-children.org,92692; 92887; 92694; 92708; 92801; 92870; 92653,en; zh; es; vi,9am-6pm,9am-6pm,9am-6pm,9am-6pm,9am-6pm,9am-1pm,closed,hybrid,0,Medi-Cal,0,false,false,true,/api/programs/P078/availability,400,1,,,California,true,photo_id; proof_of_address,36,47,Limited summer capacity,open,19,0,immediate,47
P079,Transitional Housing for Families – Orange,housing,transitional_housing,"1766 Harbor Blvd, Orange, CA 92866",714-596-2454,https://transitional-housing-for-families.org,92801; 92802; 92676,en; ar; km; fa; es,8am-5pm,8am-5pm,8am-5pm,8am-5pm,8am-5pm,closed,closed,telehealth,20,Private,5,true,false,true,/api/programs/P079/availability,,1,,21,Orange County,false,proof_of_income; proof_of_address,29,47,,open,16,0,immediate,44
P080,Permanent Supportive Housing – Families – Garden Grove,housing,permanent_supportive,"4734 Katella Ave, Garden Grove, CA 92845",714-215-3746,https://permanent-supportive-housing-families.org,all_orange_county,ar; es; hy; ko; tl; vi; en,10am-7pm,10am-7pm,10am-7pm,10am-7pm,10am-7pm,10am-3pm,closed,telehealth,0,Medi-Cal; Medicare; Private,0,true,false,true,/api/programs/P080/availability,300,1,,17,Anaheim,true,proof_of_address,93,84,,open,19,5,2026-04-25,79
P081,Homeless Prevention Rental Assistance – Fullerton,housing,rental_assistance,"1864 Main St, Fullerton, CA 92831",714-420-7863,https://homeless-prevention-rental-assistance.org,92805; 92801; 92866; 92661,en; fa; es; vi; ko,10am-7pm,10am-7pm,10am-7pm,10am-7pm,10am-7pm,10am-3pm,closed,in-person; home-delivered,25,Medi-Cal,20,true,true,true,/api/programs/P081/availability,300,1,,,Orange County,true,photo_id,95,92,,limited,5,12,2026-05-02,94
P082,CHOC Family Housing Assistance Fund – Huntington Beach,housing,hospital_housing_fund,"8209 Katella Ave, Huntington Beach, CA 92646",714-513-6820,https://choc-family-housing-assistance-fund.org,all_orange_county,hy; ko; es; zh; km; tl; vi; en,9am-6pm,9am-6pm,9am-6pm,9am-6pm,9am-6pm,9am-1pm,closed,in-person,10,Medi-Cal; CHIP,20,true,false,true,/api/programs/P082/availability,300,1,,21,Anaheim,true,photo_id; proof_of_address,94,78,Holiday surge Dec,open,23,4,2026-04-24,75
P083,Ronald McDonald House OC – Mission Viejo,housing,hospital_housing,"477 Main St, Mission Viejo, CA 92692",714-236-6681,https://ronald-mcdonald-house-oc.org,all_orange_county,fa; vi; tl; ko; en; ar; es; zh; km; hy,8am-5pm,8am-5pm,8am-5pm,8am-5pm,8am-5pm,closed,closed,telehealth,0,Medi-Cal; CHIP,0,true,false,true,/api/programs/P083/availability,,1,,21,Orange County,true,photo_id; proof_of_income; proof_of_address,39,72,Higher demand Nov-Jan,open,12,0,immediate,68
P084,Motel Voucher Program – Families – Lake Forest,housing,motel_voucher,"4463 Harbor Blvd, Lake Forest, CA 92688",714-217-7847,https://motel-voucher-program-families.org,92804; 92657; 92703; 92614; 92780; 92844; 92869,en; ko; ar; fa; es,9am-6pm,9am-6pm,9am-6pm,9am-6pm,9am-6pm,9am-1pm,closed,in-person,25,Medi-Cal; CHIP,0,true,true,true,/api/programs/P084/availability,400,1,,17,Santa Ana,false,photo_id,74,47,,open,36,0,immediate,50
P085,Domestic Violence Safe Housing – Westminster,housing,dv_shelter,"1940 Harbor Blvd, Westminster, CA 92683",714-391-4545,https://domestic-violence-safe-housing.org,all_orange_county,zh; vi; es; en; hy; fa; ko; ar; tl,8am-4pm,8am-4pm,8am-4pm,8am-4pm,8am-4pm,closed,closed,hybrid,25,Medi-Cal,15,true,true,true,/api/programs/P085/availability,250,1,,17,Orange County,false,proof_of_income; proof_of_address,86,85,Limited summer capacity,limited,15,14,2026-05-04,82
P086,Foster Care Housing Transition Support – Anaheim,housing,foster_housing,"5095 Brookhurst St, Anaheim, CA 92805",714-273-1489,https://foster-care-housing-transition-support.org,92648; 92801; 92780,zh; ar; ko; vi; es; km; hy; tl; fa; en,8am-5pm,8am-5pm,8am-5pm,8am-5pm,8am-5pm,closed,closed,telehealth,10,Medi-Cal; Medicare,5,true,false,true,/api/programs/P086/availability,300,1,,21,Anaheim,true,photo_id,97,62,,open,40,0,immediate,59
P087,Immigrant Family Housing Assistance – Santa Ana,housing,immigrant_housing,"5106 Beach Blvd, Santa Ana, CA 92705",714-423-3378,https://immigrant-family-housing-assistance.org,92801; 92802; 92612; 92661; 92630,tl; en; ar; zh; fa; es,8am-5pm,8am-5pm,8am-5pm,8am-5pm,8am-5pm,closed,closed,in-person,0,Medi-Cal; Medicare,0,false,false,true,/api/programs/P087/availability,200,1,,17,California,false,photo_id; proof_of_address,98,93,Limited summer capacity,limited,10,14,2026-05-04,89
P088,Utility Assistance Program – LIHEAP – Irvine,housing,utility_assistance,"1154 Main St, Irvine, CA 92630",714-286-4495,https://utility-assistance-program-liheap.org,92612; 92620; 92804; 92688; 92672,en; zh; tl; fa; es,8am-4pm,8am-4pm,8am-4pm,8am-4pm,8am-4pm,closed,closed,in-person,25,Medi-Cal,0,false,false,true,/api/programs/P088/availability,300,1,,21,Anaheim,true,proof_of_income; proof_of_address,67,86,,limited,8,11,2026-05-01,87
P089,Security Deposit Assistance Fund – Orange,housing,deposit_assistance,"3620 Main St, Orange, CA 92867",714-142-7297,https://security-deposit-assistance-fund.org,all_orange_county,zh; ar; vi; km; es; fa; tl; en; ko; hy,8am-4pm,8am-4pm,8am-4pm,8am-4pm,8am-4pm,closed,closed,in-person; telehealth,0,Medi-Cal; Medicare; Private,0,false,false,true,/api/programs/P089/availability,250,1,,,Orange County,true,photo_id,62,41,Increased availability summer,open,36,0,immediate,42
P090,Affordable Housing Waitlist Navigation – Garden Grove,housing,housing_navigation,"8894 Brookhurst St, Garden Grove, CA 92841",714-160-6014,https://affordable-housing-waitlist-navigation.org,92677; 92832; 92672; 92868; 92806,tl; hy; zh; vi; es; ar; ko; km; en; fa,9am-6pm,9am-6pm,9am-6pm,9am-6pm,9am-6pm,9am-1pm,closed,telehealth,25,Private,20,true,false,true,/api/programs/P090/availability,,1,,17,Orange County,false,photo_id,24,79,Higher demand Nov-Jan,limited,4,14,2026-05-04,82
P091,Pediatric Medical Housing Assistance – Fullerton,housing,medical_housing,"2412 Oak Ave, Fullerton, CA 92831",714-434-7586,https://pediatric-medical-housing-assistance.org,all_orange_county,tl; vi; zh; hy; ko; es; fa; ar; en,closed,9am-12pm,closed,9am-12pm,closed,9am-12pm,closed,home-delivered,20,Medi-Cal; CHIP,0,true,true,true,/api/programs/P091/availability,400,1,,,Irvine,false,photo_id; proof_of_income; proof_of_address; ssn,14,55,Limited summer capacity,open,6,0,immediate,57
P092,Farmworker Family Housing Program – Huntington Beach,housing,farmworker_housing,"5492 Katella Ave, Huntington Beach, CA 92648",714-793-6295,https://farmworker-family-housing-program.org,all_orange_county,zh; en; fa; es,8am-5pm,8am-5pm,8am-5pm,8am-5pm,8am-5pm,closed,closed,in-person; telehealth,0,Medi-Cal,0,true,true,true,/api/programs/P092/availability,200,1,,21,California,true,photo_id; proof_of_income; proof_of_address; ssn,29,31,Increased availability summer,open,19,0,immediate,34
P093,Refugee Resettlement Housing Support – Mission Viejo,housing,refugee_housing,"6856 Brookhurst St, Mission Viejo, CA 92692",714-327-5629,https://refugee-resettlement-housing-support.org,all_orange_county,en; zh; hy; tl; fa; ko; es,8am-5pm,8am-5pm,8am-5pm,8am-5pm,8am-5pm,closed,closed,in-person,25,Medi-Cal; Medicare,10,true,false,true,/api/programs/P093/availability,250,1,,17,Santa Ana,false,photo_id; proof_of_income; proof_of_address,90,83,Holiday surge Dec,limited,12,9,2026-04-29,86
P094,Teen Parent Housing Program – Lake Forest,housing,teen_parent_housing,"3251 Harbor Blvd, Lake Forest, CA 92630",714-945-4278,https://teen-parent-housing-program.org,92780; 92835; 92701; 92614,en; hy; ko; es,10am-7pm,10am-7pm,10am-7pm,10am-7pm,10am-7pm,10am-3pm,closed,telehealth,25,Medi-Cal,15,true,false,true,/api/programs/P094/availability,400,1,,,Santa Ana,true,proof_of_address,83,53,,open,35,0,immediate,57
P095,Sober Living Family Housing – Westminster,housing,sober_living,"5780 Katella Ave, Westminster, CA 92683",714-562-7947,https://sober-living-family-housing.org,92805; 92683; 92808; 92620; 92886; 92780; 92806,en; fa; ar; km; es,closed,9am-12pm,closed,9am-12pm,closed,9am-12pm,closed,telehealth,0,Medi-Cal,0,true,false,true,/api/programs/P095/availability,250,1,,,Irvine,true,photo_id,93,72,Increased availability summer,open,28,6,2026-04-26,69
P096,Disability-Accessible Housing Placement – Anaheim,housing,accessible_housing,"8297 Bristol St, Anaheim, CA 92803",714-997-9588,https://disability-accessible-housing-placement.org,92807; 92832; 92612; 92780; 92677; 92651; 92845; 92870,en; es; hy; zh; vi; fa; ko; tl; km; ar,9am-6pm,9am-6pm,9am-6pm,9am-6pm,9am-6pm,9am-1pm,closed,telehealth,0,Medi-Cal; Medicare,0,true,false,true,/api/programs/P096/availability,,1,,,California,true,proof_of_income; proof_of_address,89,60,Increased availability summer,open,31,0,immediate,64
P097,Veteran Family Housing Assistance – Santa Ana,housing,veteran_housing,"1782 Oak Ave, Santa Ana, CA 92704",714-709-1067,https://veteran-family-housing-assistance.org,all_orange_county,en; fa; ar; hy; es,10am-7pm,10am-7pm,10am-7pm,10am-7pm,10am-7pm,10am-3pm,closed,in-person,10,Medi-Cal; Medicare; Private,15,false,false,true,/api/programs/P097/availability,300,1,,21,Orange County,false,photo_id; proof_of_address,31,47,,open,14,0,immediate,52
P098,Back-to-School Housing Stability Fund – Irvine,housing,rental_assistance,"5797 Harbor Blvd, Irvine, CA 92612",714-423-3603,https://back-to-school-housing-stability-fund.org,92660; 92886; 92612; 92780,en; fa; ko; zh; tl; es,9am-6pm,9am-6pm,9am-6pm,9am-6pm,9am-6pm,9am-1pm,closed,home-delivered,0,Medi-Cal; CHIP,0,false,true,true,/api/programs/P098/availability,250,1,,17,California,false,photo_id; proof_of_income; proof_of_address; ssn,39,62,Increased availability summer,open,13,5,2026-04-25,65
P099,Medi-Cal Housing Support Services – Orange,housing,medical_housing,"5438 Main St, Orange, CA 92861",714-326-5729,https://medi-cal-housing-support-services.org,all_orange_county,zh; ar; en; km; fa; es,10am-7pm,10am-7pm,10am-7pm,10am-7pm,10am-7pm,10am-3pm,closed,home-delivered,25,Medi-Cal,0,true,true,true,/api/programs/P099/availability,,1,,,Santa Ana,true,proof_of_income; proof_of_address,98,63,Increased availability summer,open,40,0,immediate,59
P100,OC Community Development Housing Grants – Garden Grove,housing,housing_grant,"2003 Bristol St, Garden Grove, CA 92845",714-744-5905,https://oc-community-development-housing-grants.org,92677; 92612; 92706; 92801; 92656; 92657; 92694,km; es; ar; ko; vi; en,8am-5pm,8am-5pm,8am-5pm,8am-5pm,8am-5pm,closed,closed,telehealth,0,Medi-Cal; Medicare; Private,0,false,false,true,/api/programs/P100/availability,300,1,,17,Irvine,true,photo_id; proof_of_address,33,39,,open,19,0,immediate,40
P101,Community Garden Share Program – Anaheim,food,community_garden,"1303 Bristol St, Anaheim, CA 92806",714-252-4388,https://community-garden-share-program.org,all_orange_county,hy; en; km; tl; es,8am-4pm,8am-4pm,8am-4pm,8am-4pm,8am-4pm,closed,closed,in-person,0,Medi-Cal,5,true,false,true,/api/programs/P101/availability,250,1,,17,California,true,photo_id; proof_of_income; proof_of_address; ssn,43,71,,open,10,0,immediate,76
P102,Pediatric Formula & Baby Food Bank – Anaheim,food,infant_nutrition,"5851 Chapman Ave, Anaheim, CA 92807",714-786-8849,https://pediatric-formula-baby-food-bank.org,92806; 92805; 92841; 92672,fa; ar; vi; zh; en,10am-7pm,10am-7pm,10am-7pm,10am-7pm,10am-7pm,10am-3pm,closed,hybrid,10,CHIP,0,true,true,true,/api/programs/P102/availability,250,1,,,Orange County,false,photo_id,121,69,Higher demand Nov-Jan,open,36,6,2026-04-26,70
P103,Halal Food Pantry OC – Anaheim,food,food_pantry,"2226 Harbor Blvd, Anaheim, CA 92801",714-436-9330,https://halal-food-pantry-oc.org,92867; 92656; 92802,en; tl; ko; es; km; hy; vi; fa; ar,8am-4pm,8am-4pm,8am-4pm,8am-4pm,8am-4pm,closed,closed,telehealth,0,Private,0,true,false,true,/api/programs/P103/availability,200,1,,17,Orange County,true,photo_id; proof_of_income; proof_of_address,35,81,Higher demand Nov-Jan,limited,6,14,2026-05-04,80
P104,Kosher Food Assistance Program – Anaheim,food,food_pantry,"4741 Chapman Ave, Anaheim, CA 92806",714-997-9879,https://kosher-food-assistance-program.org,all_orange_county,en; es; ko; fa,10am-7pm,10am-7pm,10am-7pm,10am-7pm,10am-7pm,10am-3pm,closed,telehealth,20,,10,false,true,true,/api/programs/P104/availability,250,1,,,California,true,photo_id; proof_of_income; proof_of_address; ssn,55,61,Waitlist common Aug-Sep,open,21,5,2026-04-25,61
P105,Vegan Family Food Pantry – Garden Grove,food,food_pantry,"8381 Main St, Garden Grove, CA 92840",714-285-7004,https://vegan-family-food-pantry.org,all_orange_county,fa; zh; ko; hy; en,8am-4pm,8am-4pm,8am-4pm,8am-4pm,8am-4pm,closed,closed,in-person; telehealth,0,Private,5,false,false,true,/api/programs/P105/availability,250,1,,17,California,false,referral_from_hospital_or_doctor,144,84,,limited,17,16,2026-05-06,88
P106,Organic Baby Food Assistance – Orange,food,infant_nutrition,"9947 Chapman Ave, Orange, CA 92861",714-428-3757,https://organic-baby-food-assistance.org,92868; 92887; 92708; 92688; 92694; 92807,en; tl; es; vi,8am-5pm,8am-5pm,8am-5pm,8am-5pm,8am-5pm,closed,closed,in-person; home-delivered,10,,5,true,false,true,/api/programs/P106/availability,200,1,,,California,false,referral_from_hospital_or_doctor,154,93,,limited,12,6,2026-04-26,92
P107,Diabetic-Friendly Food Pantry – Anaheim,food,food_pantry,"9466 Oak Ave, Anaheim, CA 92808",714-815-7268,https://diabetic-friendly-food-pantry.org,92651; 92802; 92831,en; zh; vi; km; ar,10am-7pm,10am-7pm,10am-7pm,10am-7pm,10am-7pm,10am-3pm,closed,hybrid,0,CHIP,0,true,false,true,/api/programs/P107/availability,185,1,,21,California,true,photo_id; proof_of_income; proof_of_address,86,40,Waitlist common Aug-Sep,open,48,0,immediate,44
P108,Gluten-Free Family Food Program – Garden Grove,food,food_pantry,"7550 Oak Ave, Garden Grove, CA 92840",714-332-7515,https://gluten-free-family-food-program.org,all_orange_county,en; vi; fa; tl; km; hy,10am-7pm,10am-7pm,10am-7pm,10am-7pm,10am-7pm,10am-3pm,closed,home-delivered,20,Private,0,true,false,true,/api/programs/P108/availability,130,1,,21,California,true,photo_id; proof_of_income; proof_of_address,52,32,,open,35,0,immediate,32
P109,SNAP Application Assistance Center – Anaheim,food,snap,"4966 Oak Ave, Anaheim, CA 92805",714-327-4637,https://snap-application-assistance-center.org,all_orange_county,hy; en; es; vi; zh; fa; km; tl,10am-7pm,10am-7pm,10am-7pm,10am-7pm,10am-7pm,10am-3pm,closed,hybrid,10,,5,true,false,true,/api/programs/P109/availability,185,1,,21,California,false,photo_id; proof_of_address,112,91,,limited,12,7,2026-04-27,89
P110,Pediatric Oncology Nutrition Support – Fullerton,food,nutrition_support,"6501 Bristol St, Fullerton, CA 92832",714-995-4246,https://pediatric-oncology-nutrition-support.org,all_orange_county,en; ko; ar; zh,8am-5pm,8am-5pm,8am-5pm,8am-5pm,8am-5pm,closed,closed,in-person; telehealth,10,Medi-Cal,0,true,false,true,/api/programs/P110/availability,130,1,,17,Orange County,true,photo_id,62,45,,open,36,0,immediate,41
P111,Breastfeeding Support & Nutrition – Lake Forest,food,infant_nutrition,"7333 Main St, Lake Forest, CA 92688",714-581-5485,https://breastfeeding-support-nutrition.org,92801; 92807; 92841; 92705; 92675,en; vi; hy,9am-6pm,9am-6pm,9am-6pm,9am-6pm,9am-6pm,9am-1pm,closed,home-delivered,0,CHIP,10,true,false,true,/api/programs/P111/availability,250,1,,21,Orange County,true,referral_from_hospital_or_doctor,73,94,Increased availability summer,limited,7,5,2026-04-25,90
P112,Immigrant Family Food Assistance – Anaheim,food,food_pantry,"2064 Main St, Anaheim, CA 92807",714-174-9791,https://immigrant-family-food-assistance.org,92844; 92835; 92805,en; vi; km,8am-4pm,8am-4pm,8am-4pm,8am-4pm,8am-4pm,closed,closed,home-delivered,20,Medi-Cal; Medicare; Private,0,true,false,true,/api/programs/P112/availability,,1,,17,California,true,photo_id; proof_of_income; proof_of_address; ssn,191,37,Limited summer capacity,open,126,0,immediate,34
P113,Refugee Nutrition Program OC – Anaheim,food,food_bank,"1259 Oak Ave, Anaheim, CA 92804",714-609-3317,https://refugee-nutrition-program-oc.org,92801; 92705; 92832; 92648; 92706,zh; km; fa; en; ko; tl; vi,8am-5pm,8am-5pm,8am-5pm,8am-5pm,8am-5pm,closed,closed,in-person; telehealth,0,Medi-Cal,0,true,false,true,/api/programs/P113/availability,200,1,,17,Orange County,true,referral_from_hospital_or_doctor,156,85,,limited,25,8,2026-04-28,84
